titulo;autores;isbn;calificacion_promedio
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond;Chris Malta-Lisa Suttora;72262788;3.62
Starting an eBay Business for Dummies;Marsha Collier;764569244;3.52
eBay: Top 100 Simplified Tips & Tricks;Julia Wilkinson;471933821;4.27
ebay Timesaving Techniques for Dummies;Marsha Collier;764559915;3.55
eBay Business All-in-One Desk Reference for Dummies;Marsha Collier;764584383;3.89
Ruby Cookbook;Lucas Carlson-Leonard Richardson;596523696;3.82
Ruby Ann's Down Home Trailer Park Cookbook;Ruby Ann Boxcar;806523492;4.09
Ruby Ann's Down Home Trailer Park BBQin' Cookbook;Ruby Ann Boxcar;806525363;4.08
Rails Cookbook: Recipes for Rapid Web Development with Ruby;Rob Orsini;596527314;3.65
Anna Karenina;Leo Tolstoy-Richard Pevear-Larissa Volokhonsky;143035002;4.04
Anna Karenina;Leo Tolstoy-David Magarshack-Priscilla Meyer;451528611;4.04
Anna Karenina;Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley;140449175;4.04
CliffsNotes on Tolstoy's Anna Karenina;Marianne Sturman-Leo Tolstoy;822001837;3.89
Anna Karenina;Leo Tolstoy-Amy Mandelker-Constance Garnett;1593080271;4.04
Anna Karenina;Leo Tolstoy-Louise Maude-Aylmer Maude;486437965;4.04
Anna Karenina;Leo Tolstoy-Constance Garnett-Amy Mandelker;1593081774;4.04
Dinner with Anna Karenina;Gloria Goldreich;778322270;2.96
Tolstoy: Anna Karenina;Anthony Thorlby;521313252;4.19
Untouchable;Mulk Raj Anand-E.M. Forster;140183957;3.7
The Untouchable;John Banville;679767479;3.96
The Untouchables;Eliot Ness-Oscar Fraley;1568491980;3.89
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India;Narendra Jadhav;743270797;3.82
Dalit: The Black Untaouchables of India;V.T. Rajshekar-Y.N. Kly;932863051;4.33
Growing Up Untouchable in India: A Dalit Autobiography;Vasant Moon-Gail Omvedt-Eleanor Zelliot;742508803;3.58
The Evidence-Based Social Work Skills Book;Barry R. Cournoyer;205358624;3.4
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom";John Carratello-Patty Carratello-Theresa Wright;1557344035;3.94
Wrinkles in Time;George Smoot-Keay Davidson;380720442;3.99
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1);Madeleine L'Engle;821925326;4.01
Literature Circle Guide: A Wrinkle in Time;Tara MacCarthy;043927169X;3.57
Una arruga en el tiempo – A Wrinkle in Time;Madeleine L'Engle;606105263;4.01
The Long Shadow (The Morland Dynasty  #6);Cynthia Harrod-Eagles;751506435;4.11
A Long Shadow (Inspector Ian Rutledge  #8);Charles Todd;006078671X;4.11
Long Way Round: Chasing Shadows Across the World;Ewan McGregor-Charley Boorman-Robert Uhlig;743499344;3.94
A Shadow in Summer (Long Price Quartet  #1);Daniel Abraham;765313405;3.6
New Hope for the Dead (Hoke Mosely #2);Charles Willeford-James Lee Burke;1400032490;3.91
Sideswipe: A Hoke Moseley Novel;Charles Willeford-Lawrence Block;1400032482;4.04
Miami Blues (Hoke Mosely #1);Charles Willeford-Elmore Leonard;1400032466;3.94
I am Charlotte Simmons;Tom Wolfe;312424442;3.41
Poetry for Young People: Edward Lear;Edward Lear-Laura Huliska-Beith-Edward Mendelson;806930772;3.9
The Puffin Book of Nonsense Verse;Quentin Blake;140366601;4.04
Henry Miller on Writing;Henry Miller-Thomas H. Moore;811201120;4.23
Quiet Days in Clichy;Henry Miller;080213016X;3.69
Tropic of Cancer;Henry Miller-Jiří Níl;802131786;3.69
Tropic of Capricorn;Henry Miller;802151825;3.82
Nexus (The Rosy Crucifixion  #3);Henry Miller;802151787;4.09
Sexus (The Rosy Crucifixion  #1);Henry Miller;802151809;4.04
The Air-Conditioned Nightmare;Henry Miller;811201066;3.83
The Portrait of a Lady;Henry James-Patricia Crick;141439637;3.77
The Portrait of a Lady;Henry James-Gabriel Brownstein-Mary Cregan;1593080964;3.77
The Lover;Marguerite Duras-Barbara Bray-Maxine Hong Kingston;375700528;3.75
The War;Marguerite Duras-Barbara Bray-قلسم روبین;1565842219;3.85
The Ravishing of Lol Stein;Marguerite Duras-Richard Seever;394743040;3.67
Destroy  She Said;Marguerite Duras-Barbara Bray-Helen Lane Cumberford;080215154X;3.68
L'Amant de la Chine du Nord;Marguerite Duras;2070388093;3.89
Love Letters;Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari;1851681825;3.67
Kahlil Gibran: His Life and World;Jean Gibran-جبران خليل جبران-Kahlil Gibran;156656249X;4.2
The Beloved: Reflections on the Path of the Heart;Kahlil Gibran-John Walbridge-Robin Waterfield;014019553X;4.19
Jesus the Son of Man;Kahlil Gibran-جبران خليل جبران;394431243;3.98
The Broken Wings;Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris;806501901;3.92
Sand and Foam;Kahlil Gibran-جبران خليل جبران;067943920X;4.08
Treasure Island;Robert Louis Stevenson;753453800;3.83
Treasure Island;Robert Louis Stevenson-Scott McKowen;1402714572;3.83
Treasure Island;Robert Louis Stevenson;1416500294;3.83
Treasure Island;Robert Louis Stevenson-N.C. Wyeth-Timothy Meis;689854684;3.83
Treasure Island;Robert Louis Stevenson-Milo Winter;517221144;3.83
Treasure Island (Great Illustrated Classics);Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson;1577658051;4.04
Daniel Deronda;George Eliot-Edmund White;037576013X;3.83
100 Years of Lynchings;Ralph Ginzburg;933121180;4.63
One Hundred Years of Solitude;Gabriel García Márquez-Gregory Rabassa;60531045;4.06
Cien años de soledad;Gabriel García Márquez;785950109;4.06
Cien años de soledad;Gabriel García Márquez;8423919005;4.06
On Beyond Zebra!;Dr. Seuss;394800842;4.04
The Wedding Clause;Debbie Raleigh;821778250;3.58
The Zebra Wall;Kevin Henkes;60733039;3.46
El perfume: Historia de un asesino;Patrick Süskind;8432216062;4.02
Jitterbug Perfume;Tom Robbins;553348981;4.24
Perfume: The Story of a Murderer;Patrick Süskind-John E. Woods;140120831;4.02
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein;Robert A. Heinlein;1582881847;4.01
The Door Into Summer;Robert A. Heinlein;345413997;4.01
The Moon is a Harsh Mistress;Robert A. Heinlein;312863551;4.17
Stranger in a Strange Land;Robert A. Heinlein;441788386;3.92
The Notebooks of Lazarus Long;Robert A. Heinlein-Stephen Hickman;074348844X;4.07
To Sail Beyond the Sunset;Robert A. Heinlein;441748600;3.87
Job: A Comedy of Justice;Robert A. Heinlein;345316509;3.78
Time for the Stars (Heinlein's Juveniles  #10);Robert A. Heinlein;765314932;3.97
The Long Dark Tea-Time of the Soul (Dirk Gently  #2);Douglas Adams;671742515;4.06
The Salmon of Doubt (Dirk Gently  #3);Douglas Adams;345455290;3.92
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5);Douglas Adams;345418778;3.97
Wish You Were Here: The Official Biography of Douglas Adams;Nick  Webb;345476514;4.14
Douglas Adams's Starship Titanic;Terry Jones;345368436;3.6
Salmon of Doubt: Hitchhiking the Galaxy One Last Time;Douglas Adams-Christopher Cerf;1417622857;3.92
The Phantom Tollbooth;Norton Juster-Jules Feiffer;394820371;4.21
The Phantom Tollbooth: A Children's Play in Two Acts;Susan Nanus-Norton Juster;573650969;4.1
On Bullshit;Harry G. Frankfurt;691122946;3.57
Another Bullshit Night in Suck City;Nick Flynn;393329402;3.78
Lincoln at Gettysburg: The Words That Remade America;Garry Wills;671867423;4.13
The Gettysburg Address;Abraham Lincoln-Michael McCurdy;395883970;4.53
Underworld;Don DeLillo;684848155;3.92
Libra;Don DeLillo;140156046;3.99
Mao II;Don DeLillo;140152741;3.68
Americana;Don DeLillo;140119485;3.43
Running Dog;Don DeLillo;679722947;3.42
Cosmopolis;Don DeLillo;743244257;3.22
Great Jones Street;Don DeLillo;140179178;3.48
The Names;Don DeLillo;679722955;3.64
Against the Day;Thomas Pynchon;159420120X;4.12
V.;Thomas Pynchon;60930217;3.96
The Crying of Lot 49;Thomas Pynchon;60931671;3.7
Gravity's Rainbow;Thomas Pynchon;140283382;4.02
Mason & Dixon;Thomas Pynchon;312423209;4.06
Vineland;Thomas Pynchon;141180633;3.68
Gravity's Rainbow;Thomas Pynchon;143039946;4.02
Slow Learner: Early Stories;Thomas Pynchon;316724432;3.5
Been Down So Long It Looks Like Up To Me;Richard Fariña-Thomas Pynchon;140189300;3.81
The Year of Magical Thinking;Joan Didion;140004314X;3.88
The White Album;Joan Didion;374522219;4.17
A Book of Common Prayer;Joan Didion;679754865;3.8
Where I Was From;Joan Didion;679752862;3.86
Democracy;Joan Didion;679754857;3.81
We Tell Ourselves Stories in Order to Live: Collected Nonfiction;Joan Didion-John Leonard;307264874;4.49
Play It as It Lays;Joan Didion-David Thomson;374529949;3.87
The New York Trilogy;Paul Auster-Art Spiegelman-Luc Sante;143039830;3.9
City of Glass (The New York Trilogy  #1);Paul Auster;140097317;3.79
Ghosts (The New York Trilogy  #2);Paul Auster;014009735X;3.65
The Locked Room (The New York Trilogy  #3);Paul Auster;940650762;3.89
Pyramids of Montauk: Explorations in Consciousness;Peter Moon-Preston B. Nichols-Nina Helms;963188925;3.91
The Brooklyn Follies;Paul Auster;312426232;3.83
Moon Palace;Paul Auster;140115854;3.98
Timbuktu;Paul Auster;312263996;3.68
Neon Lit: Paul Auster's City of Glass;Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan;038077108X;3.92
The Music of Chance;Paul Auster;140154078;3.9
Travels in the Scriptorium;Paul Auster;805081453;3.23
Leviathan;Paul Auster;140178139;3.95
The Red Notebook: True Stories;Paul Auster;811214982;3.77
Timbuktu / Leviathan / Moon Palace;Paul Auster;2742741461;4.4
Why Write?;Paul Auster;1886224145;3.77
Collapse: How Societies Choose to Fail or Succeed;Jared Diamond;143036556;3.93
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel;Stephen Leeb-Glen C. Strathy;446579785;3.39
Collapse of Complex Societies;Joseph A. Tainter;052138673X;4.13
Bowling Alone: The Collapse and Revival of American Community;Robert D. Putnam;743203046;3.79
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom;Philip K. Howard;034543871X;3.92
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America;Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco;393318281;4.39
My Inventions;Nikola Tesla;1599869942;4.01
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius;Marc J.  Seifer-William H. Terbo;806519606;3.77
Nikola Tesla: A Spark of Genius;Carol Dommermuth-Costa;822549204;3.95
Tesla Papers;Nikola Tesla-David Hatcher Childress;932813860;4.12
The Invention of Tradition;Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn;521437733;3.96
Boys of Summer;Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye;373792689;3.77
Programming Ruby: The Pragmatic Programmers' Guide;Dave Thomas-Chad Fowler-Andy Hunt;974514055;4.04
Golding's Lord of the Flies (Cliffs Notes);Maureen Kelly-CliffsNotes-William Golding;764585975;3.92
Lord of the Flies;William Golding;307281701;3.67
Lord of the Flies;William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein;399529209;3.67
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War;Victor Davis Hanson;812969707;4.11
We Were Not Like Other People;Ephraim Sevela-Antonina W. Bouis;60255080;4.15
The Lovely Bones;Alice Sebold;330485385;3.79
The Lovely Bones;Alice Sebold;159413023X;3.79
Lovely in Her Bones (Elizabeth MacPherson  #2);Sharyn McCrumb;345360354;3.81
The Zen of CSS Design: Visual Enlightenment for the Web;Dave Shea-Molly E. Holzschlag;321303474;4.0
HTML  XHTML  and CSS (Visual Quickstart Guide);Elizabeth Castro;321430840;3.8
1000 Record Covers;Michael Ochs-Patrick Javault-Ulrike Wasel;3822840858;3.84
Killing Yourself to Live: 85% of a True Story;Chuck Klosterman;743264460;3.83
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto;Chuck Klosterman;743236017;3.74
Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market;Eric Schlosser;965762645;3.77
Vice (V  #8);Jane Feather;553572490;3.51
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values;Robert M. Pirsig;60589469;3.77
Once Upon a Cool Motorcycle Dude;Kevin O'Malley-Carol Heyer-Scott Goto;802789471;4.08
Guidebook to Zen and the Art of Motorcycle Maintenance;Ronald L. DiSanto-Thomas J. Steele;688060692;3.72
Motorcycle Basics Techbook;John Harold Haynes;185960515X;3.83
LOGO Lounge: 2 000 International Identities by Leading Designers;Catharine M. Fishel-Bill Gardner;1592530877;3.96
The Death of Ivan Ilych And Other Stories;Leo Tolstoy-Hugh McLean;451528808;4.1
War and Peace;Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude;192833987;4.11
The Kingdom of God Is Within You;Leo Tolstoy-Constance Garnett;486451380;4.13
Hunters Of Dune (Dune Chronicles  #7);Brian Herbert-Kevin J. Anderson;340837489;3.65
Atlas Shrugged;Ayn Rand-Leonard Peikoff;452011876;3.68
For the New Intellectual: The Philosophy of Ayn Rand;Ayn Rand;451163087;3.68
The Fountainhead;Ayn Rand;452286751;3.86
The Virtue of Selfishness: A New Concept of Egoism;Ayn Rand-Nathaniel Branden;451163931;3.5
Anthem;Ayn Rand;452281253;3.63
We the Living;Ayn Rand-Leonard Peikoff;451187849;3.91
Capitalism: The Unknown Ideal;Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen;451147952;3.87
Letters of Ayn Rand;Ayn Rand-Michael S. Berliner-Leonard Peikoff;452274044;3.97
Sailing for Dummies;J.J. Isler-Peter Isler;471791431;3.94
Sailing from Byzantium: How a Lost Empire Shaped the World;Colin  Wells;553803816;3.87
Sailing Alone Around the Room: New and Selected Poems;Billy Collins;375755195;4.23
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories;Christopher Caswell;1592283195;3.63
"Natural Cures ""They"" Don't Want You to Know about";Kevin Trudeau;975599518;3.08
The Natural;Bernard Malamud-Kevin Baker;374502005;3.63
Digging to America;Anne Tyler;307263940;3.55
Rereading America: Cultural Contexts for Critical Thinking and Writing;Gary Colombo-Bonnie Lisle;312405545;3.77
Modern Latin America;Thomas E. Skidmore-Peter H. Smith;019517013X;3.59
The Plot Against America;Philip Roth;1400079497;3.75
America (The Book): A Citizen's Guide to Democracy Inaction;Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms;713998946;4.02
Naked Pictures of Famous People;Jon Stewart;688171621;3.59
Collected Stories;Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein;60932686;4.19
Crónica de una muerte anunciada;Gabriel García Márquez;1400034957;3.96
Cien años de soledad;Gabriel García Márquez;307350428;4.06
Del amor y otros demonios;Gabriel García Márquez;307350444;3.98
Living to Tell the Tale;Gabriel García Márquez-Edith Grossman;140003454X;3.98
Memoria de mis putas tristes;Gabriel García Márquez;1400095808;3.59
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory;Brian Greene;375708111;4.07
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman;Upasika Kee Nanayon-Thanissaro Bhikkhu;086171492X;4.38
The Mini Rough Guide to London;Rob Humphreys-Beth Chaplin-Rebecca Morrill;184353584X;3.75
London: City Guide (Lonely Planet City Guide);Lonely Planet-Sarah Johnstone-Tom Masters;1740598318;4.03
Best of London (Lonely Planet Best Of);Lonely Planet-Sarah Johnstone-Steve Fallon;1740594770;4.09
London;Lonely Planet-Steve Fallon-Pat Yale;186450353X;4.03
Lonely Planet Londres;Lonely Planet-Sarah Johnstone-Tom Masters;8408064762;4.03
Out to Eat London 2002 (Lonely Planet Out to Eat);Lonely Planet-Mark Honan;1740592050;0.0
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager;H.G. Bissinger;618710531;3.87
Cryptonomicon;Neal Stephenson;60512806;4.25
Golgotha (Cryptonomicon  #3);Neal Stephenson;2228894699;4.13
Le Réseau Kinakuta (Cryptonomicon  #2);Neal Stephenson;2228894168;4.11
The Confusion (The Baroque Cycle  #2);Neal Stephenson;60733357;4.25
Quicksilver (The Baroque Cycle  #1);Neal Stephenson;60593083;3.93
The Cobweb;Neal Stephenson-J. Frederick George;553383442;3.61
Zodiac;Neal Stephenson;553573861;3.71
The Big U;Neal Stephenson;380816032;3.25
The Diamond Age: Or  A Young Lady's Illustrated Primer;Neal Stephenson;553380966;4.19
Interface;Neal Stephenson-George F. Jewsbury-Stephen  Bury;553383434;3.67
Odalisque (The Baroque Cycle  Vol. 1  Book 3);Neal Stephenson;60833181;4.2
Snow Crash;Neal Stephenson;553380958;4.03
Snow Crash;Neal Stephenson-Joachim Körber;344245302X;4.03
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame;Dan Harrington-Bill Robertie;1880685353;4.15
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play;Dan Harrington-Bill Robertie;1880685337;4.23
The Design of Everyday Things;Donald A. Norman;465067107;4.19
Emotional Design: Why We Love (or Hate) Everyday Things;Donald A. Norman;465051367;3.94
The Psychology of Everyday Things;Donald A. Norman;465067093;4.19
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson;Alex C. Jones-Diane M. Hanson-Stephen K. Ray;898709199;4.26
The Alchemist;Paulo Coelho-Alan R. Clarke-James Noel Smith;60887966;3.85
The Alchemist;Paulo Coelho-Alan R. Clarke-Özdemir İnce;61122416;3.85
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9);Hiromu Arakawa-Akira Watanabe;142150460X;4.57
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3);Hiromu Arakawa-Akira Watanabe;1591169259;4.56
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8);Hiromu Arakawa-Akira Watanabe;1421504596;4.57
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1);Hiromu Arakawa-Akira Watanabe;1591169208;4.49
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4);Hiromu Arakawa-Akira Watanabe;1591169291;4.55
The Illustrated Alchemist: A Fable about Following Your Dream;Paulo Coelho-Alan R. Clarke-Mœbius;006019250X;3.85
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2);Hiromu Arakawa-Akira Watanabe;1591169232;4.52
The Kite Runner;Khaled Hosseini;747588945;4.28
Pompeii;Robert   Harris;812974611;3.81
The Last Days of Pompeii;Edward Bulwer-Lytton-John Gregory Betancourt;158715739X;3.59
Of Mice and Men;John Steinbeck;142000671;3.86
Of Mice and Men;John Steinbeck-Jim Taylor;582461464;3.86
The Game: Penetrating the Secret Society of Pickup Artists;Neil Strauss;60554738;3.74
The Westing Game;Ellen Raskin;014240120X;4.02
The Egypt Game;Zilpha Keatley Snyder;808553038;3.82
Memoirs of a Geisha;Arthur Golden;1400096898;4.1
Memoirs of a Geisha;Arthur Golden;739326228;4.1
Memoirs of a Geisha;Arthur Golden;99498189;4.1
Memoirs of a Geisha: A Portrait of the Film;David        James-Peggy Mulloy-Rob Marshall-Arthur Golden;1557046832;4.08
Memoirs of a Geisha;Arthur Golden;99771519;4.1
Geisha of Gion;Mineko Iwasaki-Rande Brown;074343059X;3.93
Memoirs Of A Geisha;Arthur Golden;7229577;4.1
Love As A Foreign Language #5;J. Torres-Eric  Kim;1932664394;3.44
Jungle Love;Margaret Johnson-Philip Prowse;521750849;3.37
First Impressions;Nora Roberts;373510055;3.74
The 5 Love Languages / The 5 Love Languages Journal;Gary Chapman;802415318;4.71
Angels & Demons (Robert Langdon  #1);Dan Brown;1416524797;3.88
Ángeles y demonios (Robert Langdon  #1);Dan Brown;849561877X;3.88
Angeles & Demonios;Dan Brown-Raúl Amundaray;972859896;3.88
The Da Vinci Code (Robert Langdon  #2);Dan Brown;307277674;3.82
The Da Vinci Code;Dan Brown;076792603X;3.82
Da Vinci Code (Robert Langdon  #2);Dan Brown-Daniel Roche;2266144340;3.82
Deception Point;Dan Brown;1416524800;3.7
